caudal,potencia,densidad,rpm
0.2,47.5,1500,1.2
5.6,41.7,1500,1.2
11.1,38.8,1500,1.2
17.4,36.8,1500,1.2
22.1,31,1500,1.2
25.7,26.2,1500,1.2
28.6,21.6,1500,1.2
