caudal,presion_total,densidad,rpm
0.2,2980.2,1500,1.2
3.9,2564.4,1500,1.2
8.7,2158.4,1500,1.2
14.3,1782.2,1500,1.2
20.7,1316.8,1500,1.2
24.8,861.4,1500,1.2
27.8,435.6,1500,1.2
29.8,89.1,1500,1.2
