caudal,potencia,densidad,rpm
0.2,47.5,1.2,1500
5.6,41.7,1.2,1500
11.1,38.8,1.2,1500
17.4,36.8,1.2,1500
22.1,31,1.2,1500
25.7,26.2,1.2,1500
28.6,21.6,1.2,1500
