caudal,presionTotal,densidad,rpm
0.2,2980.2,1.2,1500
3.9,2564.4,1.2,1500
8.7,2158.4,1.2,1500
14.3,1782.2,1.2,1500
20.7,1316.8,1.2,1500
24.8,861.4,1.2,1500
27.8,435.6,1.2,1500
29.8,89.1,1.2,1500
